"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Weapons.aspx?ID=73"">Alchemical Bomb</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","L","—"
"<u><a href=""Weapons.aspx?ID=1"">Fist</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=170"">Agile</a></u>, <u><a href=""Traits.aspx?ID=179"">Finesse</a></u>, <u><a href=""Traits.aspx?ID=188"">Nonlethal</a></u>, <u><a href=""Traits.aspx?ID=199"">Unarmed</a></u>","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","—","—"
"<u><a href=""Equipment.aspx?ID=26"">Holly and Mistletoe</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=1"">Adventuring Gear</a></u>","—","—","—","—","—"
"<u><a href=""Weapons.aspx?ID=40"">Shield Bash</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","—","—"
"<u><a href=""Equipment.aspx?ID=924"">Thresholds of Truth</a></u>","—","<u><a href=""Sources.aspx?ID=75"" title=""Pathfinder #164: Hands of the Devil"">Pathfinder #164</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","—","<u><a href=""Equipment.aspx?Category=53"">Other</a></u>","—","—","—","—","Abomination Vaults"
"<u><a href=""Armor.aspx?ID=1"">Unarmored</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Armor.aspx"">Armor</a></u>","<u><a href=""Armor.aspx"">Base Armor</a></u>","—","—","—","—"
"<u><a href=""Weapons.aspx?ID=2"">Club</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=195"">Thrown 10 ft.</a></u>","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","1","—"
"<u><a href=""Weapons.aspx?ID=133"">Exquisite Sword Cane Sheath</a></u>","—","<u><a href=""Sources.aspx?ID=45"" title=""Pathfinder #157: Devil at the Dreaming Palace"">Pathfinder #157</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=170"">Agile</a></u>, <u><a href=""Traits.aspx?ID=179"">Finesse</a></u>, <u><a href=""Traits.aspx?ID=190"">Parry</a></u>, <u><a href=""Traits.aspx?ID=197"">Twin (Sword)</a></u>","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","L","—"
"<u><a href=""Weapons.aspx?ID=72"">Sling</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=191"">Propulsive</a></u>","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","L","—"
"<u><a href=""Weapons.aspx?ID=12"">Staff</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=198"">Two-Hand 1d8</a></u>","<u><a href=""Weapons.aspx"">Weapons</a></u>","<u><a href=""Weapons.aspx"">Base Weapons</a></u>","—","—","1","—"
