Slick,True,https://2e.aonprd.com/Equipment.aspx?ID=289
Shadow,True,https://2e.aonprd.com/Equipment.aspx?ID=288
Glamered,False,https://2e.aonprd.com/Equipment.aspx?ID=286
Energy-Resistant,True,https://2e.aonprd.com/Equipment.aspx?ID=283
Invisibility,True,https://2e.aonprd.com/Equipment.aspx?ID=287
Fortification,True,https://2e.aonprd.com/Equipment.aspx?ID=285
Antimagic,False,https://2e.aonprd.com/Equipment.aspx?ID=282
Ethereal,False,https://2e.aonprd.com/Equipment.aspx?ID=284
Armor Potency,True,https://2e.aonprd.com/Equipment.aspx?ID=278
Resiliant,True,https://2e.aonprd.com/Equipment.aspx?ID=279
