"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=2516"">Aberration Kinship</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=338"">Fleshwarp</a></u>","1","&mdash;","Your mind resonates with the inscrutable thought processes that inhuman aberrations use to communicate.","—"
"<u><a href=""Feats.aspx?ID=2106"">Acrobatic Performer</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=1"">Acrobatics</u></a>","Use Acrobatics to Perform.","—"
"<u><a href=""Feats.aspx?ID=130"">Acute Vision</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=18"">Barbarian</a></u>","1","&mdash;","Your sense improve when you are raging.","—"
"<u><a href=""Feats.aspx?ID=66"">Adapted Cantrip</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>","1","spellcasting class feature","Through study of multiple magical traditions, you’ve altered a spell to suit your spellcasting style.","—"
"<u><a href=""Feats.aspx?ID=750"">Additional Lore</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=8"">Lore</u></a>","Become trained in another Lore subcategory.","—"
"<u><a href=""Feats.aspx?ID=2342"">Adhyabhau</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=215"">Dhampir</a></u>, <u><a href=""Traits.aspx?ID=317"">Lineage</a></u>","1","&mdash;","You descend from the rare psychic vampires known as vetalaranas.","—"
"<u><a href=""Feats.aspx?ID=751"">Adopted Ancestry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>","1","&mdash;","Gain access to ancestry feats from another ancestry.","—"
"<u><a href=""Feats.aspx?ID=1602"">Adrenaline Rush</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=18"">Barbarian</a></u>, <u><a href=""Traits.aspx?ID=135"">Rage</a></u>","1","&mdash;","In the heat of battle, you are capable of amazing feats of strength.","—"
"<u><a href=""Feats.aspx?ID=1012"">Adroit Manipulation</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=87"">Halfling</a></u>","1","&mdash;","You’ve fiddled with knots, locks, and blacksmith’s puzzles since you were a child to give your hands something to do.","—"
"<u><a href=""Feats.aspx?ID=2886"">Advanced Weaponry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=394"">Evolution</a></u>, <u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","1","&mdash;","Your eidolon's attack evolves.","—"
"<u><a href=""Feats.aspx?ID=2393"">Ageless Spirit</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=225"">Leshy</a></u>","1","&mdash;","You remember more about your previous incarnations than most leshys.","—"
"<u><a href=""Feats.aspx?ID=752"">Alchemical Crafting</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</u></a>","Craft alchemical items.","—"
"<u><a href=""Feats.aspx?ID=92"">Alchemical Familiar</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=7"">Alchemist</a></u>","1","&mdash;","You have used alchemy to create life, a simple creature formed from alchemical materials, reagents, and a bit of your own blood.","—"
"<u><a href=""Feats.aspx?ID=93"">Alchemical Savant</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=7"">Alchemist</a></u>","1","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</u></a>","You can identify alchemical items quickly.","—"
"<u><a href=""Feats.aspx?ID=1024"">Alchemical Scholar</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=268"">Hobgoblin</a></u>","1","&mdash;","You learn formulas more easily.","—"
"<u><a href=""Feats.aspx?ID=2669"">Alghollthu Bound</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=76"" title=""Azarketi Ancestry Web Supplement"">Azarketi Ancestry Web Supplement</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=336"">Azarketi</a></u>","1","&mdash;","Although you may not even be aware, the alghollthus your ancestors once served maintain a stranglehold on the deepest, tethered parts of your mind.","—"
"<u><a href=""Feats.aspx?ID=2762"">Anadi Lore</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>","1","&mdash;","You've learned how to provide for your community, be it through hard-earned sustenance or useful crafts.","—"
"<u><a href=""Feats.aspx?ID=1810"">Ancestral Blood Magic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=148"">Sorcerer</a></u>","1","&mdash;","The magic of your bloodline mixes with that of your ancestry.","—"
"<u><a href=""Feats.aspx?ID=2298"">Ancestral Insight</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=336"">Azarketi</a></u>","1","&mdash;","You have extensive knowledge of your ancestors' ancient origins.","—"
"<u><a href=""Feats.aspx?ID=1407"">Ancestral Linguistics</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=58"">Elf</a></u>","1","at least 100 years old","Over your extensive lifespan, you've studied many languages.","—"
"<u><a href=""Feats.aspx?ID=12"">Ancestral Longevity</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=58"">Elf</a></u>","1","at least 100 years old","You have accumulated a vast array of lived knowledge over the years.","—"
"<u><a href=""Feats.aspx?ID=2459"">Android Lore</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=334"">Android</a></u>","1","&mdash;","You have a keen interest in the origins of your people.","—"
