"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=3000"">Draw from the Land</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","10","<u><a href=""Feats.aspx?ID=2995"">Geomancer Dedication</u></a>; expert in <u><a href=""Skills.aspx?ID=10"">Nature</u></a>","You pull strength from the surrounding terrain.","—"
"<u><a href=""Feats.aspx?ID=1954"">Dual-Weapon Blitz</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","10","<u><a href=""Feats.aspx?ID=1950"">Dual-Weapon Warrior Dedication</u></a>","You attack as you dash among foes.","—"
"<u><a href=""Feats.aspx?ID=1545"">Dueling Dance (Swashbuckler)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=152"">Stance</a></u>, <u><a href=""Traits.aspx?ID=321"">Swashbuckler</a></u>","10","<u><a href=""Feats.aspx?ID=1514"">Dueling Parry (Swashbuckler)</u></a>","Using your free hand as pivot and balance, you both attack and defend with your weapon.","—"
"<u><a href=""Feats.aspx?ID=2230"">Eidetic Memorization</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","10","<u><a href=""Feats.aspx?ID=871"">Pathfinder Agent Dedication</u></a>","Pathfinders are often asked to study the intricacies of ancient history under less than ideal conditions, and you've trained your brain to make the most of your limited time.","—"
"<u><a href=""Feats.aspx?ID=108"">Elastic Mutagen</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=7"">Alchemist</a></u>","10","&mdash;","You can cause your body to twist and flow like the quicksilver within your mutagens.","—"
"<u><a href=""Feats.aspx?ID=1801"">Eldritch Debilitations</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=139"">Rogue</a></u>","10","<a style=""text-decoration:underline"" href=""Rackets.aspx?ID=4"">eldritch trickster racket</a>; <a style=""text-decoration:underline"" href=""Classes.aspx?ID=10"">Debilitating Strike</a>","You know how to apply debilitations that are particularly troublesome for spellcasters.","—"
"<u><a href=""Feats.aspx?ID=335"">Elemental Shape</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=52"">Druid</a></u>","10","<u><a href=""Feats.aspx?ID=316"">Wild Shape</u></a>","You understand the fundamental elements of nature such that you can imbue them into your body.","—"
"<u><a href=""Feats.aspx?ID=1680"">Elucidating Mercy</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=24"">Champion</a></u>","10","<u><a href=""Feats.aspx?ID=225"">Mercy</u></a>","Your mercy grants clarity to those around you just when they need it most.","—"
"<u><a href=""Feats.aspx?ID=1111"">Emerald Boughs Hideaway</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","10","<u><a href=""Feats.aspx?ID=1102"">Magaambyan Attendant Dedication</u></a>; Emerald Boughs affiliation","You use Emerald Bough techniques to create a small extradimensional space called a hideaway that lasts as long as you are conscious.","—"
"<u><a href=""Feats.aspx?ID=1094"">Endure Death's Touch</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","10","<u><a href=""Feats.aspx?ID=1092"">Knight Vigilant</u></a>; expert in medium or heavy armor","Your conviction redirects the undead’s attack through your armor and then harmlessly away.","—"
