"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=993"">Unexpected Shift</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=80"">Gnome</a></u>","1","&mdash;","Your supernatural connection sometimes causes you to phase from reality when under threat, disappearing for split seconds before reappearing—often surprising you as much as your enemies.","—"
"<u><a href=""Feats.aspx?ID=2893"">Unfetter Eidolon</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","1","&mdash;","You can allow your eidolon to travel far from your side.","—"
"<u><a href=""Feats.aspx?ID=58"">Unfettered Halfling</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=87"">Halfling</a></u>","1","&mdash;","You were forced into service as a laborer, but you’ve since escaped and have trained to ensure you’ll never be caught again.","—"
"<u><a href=""Feats.aspx?ID=216"">Unimpeded Step</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=24"">Champion</a></u>","1","<a style=""text-decoration:underline"" href=""Causes.aspx?ID=3"">liberator cause</a>","With a burst of divine liberation, your spur your ally’s movement.","—"
"<u><a href=""Feats.aspx?ID=18"">Unwavering Mien</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=58"">Elf</a></u>","1","&mdash;","Your mystic control and meditations allow you to resist external influences upon your consciousness.","—"
"<u><a href=""Feats.aspx?ID=1339"">Vampire Lore</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=215"">Dhampir</a></u>","1","&mdash;","You were raised by your vampiric parent, or you've invested substantial time and energy researching the secrets of your undead progenitors.","—"
"<u><a href=""Feats.aspx?ID=2357"">Vanth's Weapon Familiarity</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=257"">Duskwalker</a></u>","1","&mdash;","You seek to emulate vanth reapers' fighting styles.","—"
"<u><a href=""Feats.aspx?ID=2333"">Veil May</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=74"" title=""Ancestry Guide"">Ancestry Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=212"">Changeling</a></u>, <u><a href=""Traits.aspx?ID=317"">Lineage</a></u>","1","&mdash;","Born of a blood hag, a fiery blood drinker hidden behind a false skin, you have one blood-red eye and the ability to slough off your appearance in an instant.","—"
"<u><a href=""Feats.aspx?ID=6"">Vengeful Hatred</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=54"">Dwarf</a></u>","1","&mdash;","You heart aches for vengeance against those who have wronged your people.","—"
"<u><a href=""Feats.aspx?ID=1711"">Verdant Weapon</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=52"">Druid</a></u>, <u><a href=""Traits.aspx?ID=66"">Exploration</a></u>","1","&mdash;","You cultivate a seed that can sprout into a wooden staff, vine whip, or another weapon.","—"
"<u><a href=""Feats.aspx?ID=182"">Versatile Performance</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=19"">Bard</a></u>","1","<a style=""text-decoration:underline"" href=""Muses.aspx?ID=3"">polymath muse</a>","You can rely on the grandeur of your performances rather than ordinary social skills.","—"
"<u><a href=""Feats.aspx?ID=46"">Very Sneaky</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=81"">Goblin</a></u>","1","&mdash;","Taller folk rarely pay attention to the shadows at their feet, and you take full advantage of this.","—"
