"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=2915"">Tandem Strike</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=392"">Summoner</a></u>, <u><a href=""Traits.aspx?ID=395"">Tandem</a></u>","6","&mdash;","You and your eidolon each attack, seamlessly targeting the same foe without interfering with each other's movements.","—"
"<u><a href=""Feats.aspx?ID=1108"">Tempest-Sun Redirection</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=107"">Metamagic</a></u>","6","<u><a href=""Feats.aspx?ID=1102"">Magaambyan Attendant Dedication</u></a>; Tempest-Sun Mages affiliation","If the next action you use is to Cast a Spell from your spell slots that damages other creatures, you can bend some of that spell’s offensive energy, protecting allies in the area and boosting your own defenses against certain foes.","—"
"<u><a href=""Feats.aspx?ID=1464"">Thorough Research</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=318"">Investigator</a></u>","6","&mdash;","When you succeed at a Recall Knowledge check, you learn an additional fact about the subject.","—"
"<u><a href=""Feats.aspx?ID=454"">Tiger Slash</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=112"">Monk</a></u>","6","<u><a href=""Feats.aspx?ID=436"">Tiger Stance</u></a>","You make a fierce swipe with both hands.","—"
"<u><a href=""Feats.aspx?ID=387"">Triple Shot</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=71"">Fighter</a></u>","6","<u><a href=""Feats.aspx?ID=370"">Double Shot</u></a>","You can quickly fire multiple shots with greater control.","—"
"<u><a href=""Feats.aspx?ID=570"">Twist the Knife</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=139"">Rogue</a></u>","6","&mdash;","After stabbing your opponent in a weak spot, you tear the wound open.","—"
"<u><a href=""Feats.aspx?ID=880"">Unnerving Prowess</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=6"" title=""World Guide"">World Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","6","<u><a href=""Feats.aspx?ID=876"">Aldori Duelist Dedication</u></a>","Make a free Demoralize check when you critically succeed with your dueling sword.","—"
"<u><a href=""Feats.aspx?ID=3031"">Urgent Upwelling</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","6","<u><a href=""Feats.aspx?ID=3029"">Wellspring Mage Dedication</u></a>","Defeat lets you to tap into your wellspring.","—"
"<u><a href=""Feats.aspx?ID=1109"">Uzunjati Storytelling</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","<u><a href=""Feats.aspx?ID=1102"">Magaambyan Attendant Dedication</u></a>; Uzunjati affiliation; master in a <a style=""text-decoration:underline"" href=""Actions.aspx?ID=26"">Recall Knowledge</a> skill","You tell a quick story or begin telling a longer tale.","—"
"<u><a href=""Feats.aspx?ID=2188"">Vacate Vision</a></u>","—","<u><a href=""Sources.aspx?ID=41"" title=""The Slithering"">The Slithering</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","6","<u><a href=""Feats.aspx?ID=2185"">Oozemorph Dedication</u></a>","You cause your eyes to liquefy and run out of your eye sockets, leaving them empty.","—"
