"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=2711"">Reach Beyond</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=85"" title=""Pathfinder #166: Despair on Danger Island"">Pathfinder #166</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","4","<u><a href=""Feats.aspx?ID=2710"">Ghost Eater Dedication</u></a>","You've learned to move your spiritual energy past yourself to attack spirits where others can't.","—"
"<u><a href=""Feats.aspx?ID=2904"">Reactive Dismissal</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","4","&mdash;","You abruptly dismiss your eidolon to reduce the damage it takes, though this makes summoning it again more difficult.","—"
"<u><a href=""Feats.aspx?ID=564"">Reactive Pursuit</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=139"">Rogue</a></u>","4","&mdash;","You keep pace with a retreating foe.","—"
"<u><a href=""Feats.aspx?ID=1190"">Reflexive Catch</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=21"" title=""Pathfinder #151: The Show Must Go On"">Pathfinder #151</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>","4","<u><a href=""Feats.aspx?ID=1187"">Juggler Dedication</u></a>; expert in <u><a href=""Skills.aspx?ID=1"">Acrobatics</u></a>","Grab an item thrown at you.","Extinction Curse"
"<u><a href=""Feats.aspx?ID=2222"">Remember Your Training</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","4","<u><a href=""Feats.aspx?ID=871"">Pathfinder Agent Dedication</u></a>","You were schooled on a wide variety of creatures you might encounter.","—"
"<u><a href=""Feats.aspx?ID=2684"">Repeating Hand Crossbow Training</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=81"" title=""Pathfinder #165: Eyes of Empty Death"">Pathfinder #165</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","4","<u><a href=""Feats.aspx?ID=2683"">Drow Shootist Dedication</u></a>","You become trained in the repeating hand crossbow and gain access to repeating hand crossbows and shootist bandoliers.","—"
"<u><a href=""Feats.aspx?ID=2167"">Rescuer's Press</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=40"" title=""Legends"">Legends</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","4","<u><a href=""Feats.aspx?ID=882"">Lastwall Sentry Dedication</u></a>","Any shield you wield gains the shove trait.","—"
"<u><a href=""Feats.aspx?ID=2059"">Reverse Engineering</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=2058"">Scrounger Dedication</u></a>; expert in <u><a href=""Skills.aspx?ID=4"">Crafting</u></a>","You are able to reverse engineer items into formulas more effectively than most.","—"
"<u><a href=""Feats.aspx?ID=1573"">Rites of Convocation</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=323"">Witch</a></u>","4","&mdash;","Your patron grants you the power to summon other creatures to aid you.","—"
"<u><a href=""Feats.aspx?ID=1639"">Ritual Researcher</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=19"">Bard</a></u>","4","<a style=""text-decoration:underline"" href=""Muses.aspx?ID=1"">enigma muse</a>; expert in <u><a href=""Skills.aspx?ID=11"">Occultism</u></a>","Careful research into the art of rituals has made you better at performing them.","—"
